Song Name,Artist,Album
Unutulanlar,Farazi,Hayalet Islığı (Instrumentals)
Kayboluyorum (Süt),Sedef Sebüktekin,Kayboluyorum (Süt)
YILDIZLARLA RAKS,BEGE,BEGEFENDİ
NERDEYİM ALO?,BEGE,BEGEFENDİ
DURMA,BEGE,BEGEFENDİ
Mey,Model,Mey
GELECEK İSTASYON MARS,Xir,GELECEK İSTASYON MARS
Sweet Dreams,Besomorph,Sweet Dreams
Sweet Dreams (Are Made of This) - 2005 Remaster,Eurythmics,Sweet Dreams (Are Made Of This)
Şehrimin Tadı,Ezhel,Müptezhel
FRIENDS,Marshmello,FRIENDS
Happy Together (feat. Ray Toro),Gerard Way,Happy Together (feat. Ray Toro)
Bi Sonraki Hayatımda Gel,Murda,Made In Turkey
Senden Daha Güzel,Duman,Duman 2
FM$,New Boyz,FM$
Barbar,Kaan Boşnak,Barbar
Korkudan,Barış Özcan,Korkudan
Kuytu Köşelerde,Şanışer,Kuytu Köşelerde
Allah'ından Bul,Ezhel,Allah'ından Bul
İmkansızım,Ezhel,İmkansızım
Haberin Yok Ölüyorum,Duman,Belki Alışman Lazım
Benimle Yan,Güntaç Özdemir,Benimle Yan
Poşet,Serdar Ortaç,Kara Kedi
Çok Yaşa Kral,Porçay,Çok Yaşa Kral
Bu Gece Arama,Arda Gezer,Episode 1
Yıldızlara Erişmek,Lia Shine,Yıldızlara Erişmek
Moonlight,XXXTENTACION,?
Dansöz,Serdar Ortaç,Mesafe
Mood (feat. iann dior),24kGoldn,El Dorado
Yıldızların Altında,Kargo,Yıldızların Altında
Mutlu Yıllar,Cem Adrian,Siyah Bir Veda Öpücüğü
Kırmış Kalbini,Duman,Belki Alışman Lazım
Helal Olsun,Duman,Duman 1
Everything Black,Unlike Pluto,Everything Black
Legends Never Die,League of Legends,Legends Never Die
Mayonaka no Door / Stay With Me,Miki Matsubara,Miki Matsubara Best Collection
listen before i go,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
No Time To Die,Billie Eilish,No Time To Die
lovely (with Khalid),Billie Eilish,lovely (with Khalid)
i love you,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
ocean eyes,Billie Eilish,dont smile at me
Aşkım Baksana Bana,Nazan Öncel,7'n Bitirdin
Peşimde Kara Geceler,Şanışer,Peşimde Kara Geceler
GIANTS,True Damage,GIANTS
Varım,Nova Norda,Varım
Talking to the Moon - Acoustic Piano,Bruno Mars,Doo-Wops & Hooligans
Everything at Once,Lenka,Two (Expanded Edition)
Sway With Me (with GALXARA),Saweetie,Sway With Me (with GALXARA)
Remembrance,Balmorhea,"All Is Wild, All Is Silent"
telepatía,Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ∞
Garezi Var,Kahraman Deniz,23
Electric Love,BØRNS,Dopamine
Paparazzi,Kim Dracula,Paparazzi
Gökyüzüm Siyah Olsa Da,Ne Jupiter,Aklımın Derinlerinde
Kararsız,Ne Jupiter,Kararsız
I'm Just Your Problem (feat. Olivia Olson),Adventure Time,"Adventure Time, Vol. 1 (Original Soundtrack)"
Runaway,AURORA,All My Demons Greeting Me As A Friend (Deluxe)
La tristesse du diable,Meimuna,Meimuna
Hayalet Sevgilim,Irem,Hayalet Sevgilim
Somebody That I Used To Know,Gotye,Making Mirrors
FIGHT! - Flyday Chinatown,Aests,The Classics
Olsun İstemezdim,Lin Pesto,SON
It Only Makes Me Love You More,Team Solo,It Only Makes Me Love You More
Counting Stars,OneRepublic,Native
SOLO,JENNIE,SOLO
Nothing Else Matters,Metallica,Metallica
Yağmurlar,Anıl Piyancı,Yağmurlar
Ankara'yla Bozuşuruz,Perdenin Ardındakiler,Ankara'yla Bozuşuruz
Yazık,Tuğkan,Yazık
Aman Aman,Duman,Seni Kendime Sakladım
Aldattın Mı,Dolu Kadehi Ters Tut,Polonya'nın Başı Belada
Bikinisinde Astronomi (Bonus Trek),Son Feci Bisiklet,Son Feci EP
Belki Üstümüzden Bir Kuş Geçer,Yüksek Sadakat,Yüksek Sadakat
#22,Dolu Kadehi Ters Tut,#22
#21,Dolu Kadehi Ters Tut,Polonya'nın Başı Belada
#26,Dolu Kadehi Ters Tut,DKTT
Bu Kız,Son Feci Bisiklet,Vesaire
Gizli Yara,Pera,Gizli Yara
Her Şey Biraz Hala Sen - Alternatif Versiyon,emre aydın,Her Şey Biraz Hala Sen (Alternatif Versiyon)
#25,Dolu Kadehi Ters Tut,#25
Veda Olsun,Batuhan Mutlugil,Yadigar
Beteri Yok Uslanmaktan,Nova Norda,Beteri Yok Uslanmaktan
Mark,SHAHMEN,Enter the Circle
Acıyor,Göksel,Bende Bi' Aşk Var
Clandestina,FILV,LUX
Breathing Fire,Anne-Marie,Speak Your Mind (Deluxe)
Machine,Anne-Marie,Speak Your Mind (Deluxe)
Homage,Mild High Club,Skiptracing
Hatıralar,Barış Akarsu,Ayrılık Zamansız Gelir
Mutluyum Ama Birazdan Geçer,İkiye On Kala,Eski Yeşil Araba
Just the Two of Us,"Grover Washington, Jr.",Winelight
Addiction,Vlad Holiday,Fall Apart with Me
Yıldızlar,Deniz Tekin,Yıldızlar
Bubblegum Bitch,MARINA,Electra Heart (Deluxe)
Wait a Minute!,WILLOW,ARDIPITHECUS
Seven Nation Army,The White Stripes,Elephant
いきのこり●ぼくら,Ichiko Aoba,0
Dursana Dünya,Pinhani,Zaman Beklemez
FRIENDS,Marshmello,Speak Your Mind (Deluxe)
Hepsi Kafamda,Dilan Balkay,Hepsi Kafamda
Don't Be so Shy (Filatov & Karas Remix),Imany,Sous les jupes des filles (Original Motion Picture Soundtrack) [Bonus Track Version]
Günleri Geride Bırak,Şanışer,Günleri Geride Bırak
Leaves From The Vine,Lofi Fruits Music,Leaves From The Vine
For Lu Ten,L.Dre,For Lu Ten
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus)
Summertime Sadness,Lana Del Rey,Born To Die - The Paradise Edition
I Know You so Well,Sarah Meow,Safe.
I'll Keep You Safe,Sarah Meow,Safe.
Take Me To Church,Hozier,Hozier
PEŞİMDE BELA,BEGE,BEGEFENDİ
2002,Anne-Marie,Speak Your Mind (Deluxe)
Infinity,Jaymes Young,Feel Something
NO,Meghan Trainor,Thank You (Deluxe Version)
All The Things She Said,t.A.T.u.,200 KM/H In The Wrong Lane (10th Anniversary Edition)
İçinde Aşk Var,Sufle,Pus
Özler Oldum,Dolu Kadehi Ters Tut,Dünyanın En İyi Albümü
#23,Dolu Kadehi Ters Tut,Dünyanın En İyi Albümü
Seni Dert Etmeler,Madrigal,Seni Dert Etmeler
Koca Yaşlı Şişko Dünya,Adamlar,Eski Dostum Tankla Gelmiş
Anlaması Lazım,Tam Benim Tarzım,Anlaması Lazım
B.S.G.,BEGE,BEGEFENDİ
GECELERİN DERDİ,BEGE,BEGEFENDİ
Uzunlar - V1,Evdeki Saat,Uzunlar
İnsan Gelir İnsan Geçer,Sena Şener,İnsan Gelir İnsan Geçer
Mesafe,Porçay,Mesafe
Aynı Sokaklarda,Şanışer,Aynı Sokaklarda
Beyler,Dolu Kadehi Ters Tut,Karanlık
Güzel Kadın,Raviş,Güzel Kadın
Ona Gitme,Batu Akdeniz,Ona Gitme
Aşk Tesadüfleri Sever,Müslüm Gürses,Aşk Tesadüfleri Sever (Mucize ve Buluşma)
Buzdan Şato,Model,Diğer Masallar
Antidepresan Gülümsemesi - Pazarlık,Model,Levla'nın Hikayesi (Bonus Edition)
Maazallah (YGA),Lin Pesto,SON
Bu Partide Yalnızsın,Lin Pesto,SON
Köhne,Gökşin Derin,Depresif
Romeonun Kırık Kalbi,Gökşin Derin,Depresif
Her Şeyi Yak,Duman,Belki Alışman Lazım
Bağımlı Karanlığa,163,Bağımlı Karanlığa
Bu Akşamda Aklımdasın,Gökşin Derin,Bu Akşamda Aklımdasın
Sarılırım Birine,Adamlar,Dünya Günlükleri
Üzgünüm,Dolu Kadehi Ters Tut,Karanlık
Yalan,Dolu Kadehi Ters Tut,Karanlık
Ela,Reynmen,Ela
Seni Seviyorum,Pera,Seni Seviyorum
Olsun,Sertab Erener,Kırık Kalpler Albümü
#24,Dolu Kadehi Ters Tut,Karanlık
Ne Farkeder,Yüzyüzeyken Konuşuruz,Ne Farkeder
New Americana,Halsey,BADLANDS (Deluxe)
New Americana,Halsey,BADLANDS
On Top Of The World,Imagine Dragons,Night Visions (Deluxe)
Radioactive,Imagine Dragons,Night Visions (Deluxe)
Natural,Imagine Dragons,Origins (Deluxe)
TANIMIYORUM,Aspova,BLACKOUT
Hele Bi Gel,Pinhani,İnandığın Masallar
Ne Güzel Güldün,Pinhani,Zaman Beklemez
Üzülmeyelim,Pinhani,Üzülmeyelim
Who You Really Are,David Arnold,Sherlock Series 4: The Final Problem (Original Television Soundtrack)
Affet,Müslüm Gürses,Aşk Tesadüfleri Sever (Mucize ve Buluşma)
Bad Liar,Imagine Dragons,Origins (Deluxe)
Sevmekten Usanmam,Pinhani,Zaman Beklemez
Dön Bak Dünyaya,Pinhani,İnandığın Masallar
Aylar Olmuş,Tuğkan,Aylar Olmuş
The Cigarette Duet,Princess Chelsea,Lil' golden Book
Let's Fall in Love for the Night (1964),FINNEAS,Blood Harmony (Deluxe)
Civciv,Tuğkan,Civciv
Sen Benim,Tuğkan,Sen Benim
Gitme,Dolu Kadehi Ters Tut,Karanlık
Karanlık,Dolu Kadehi Ters Tut,Karanlık
Madem,Dolu Kadehi Ters Tut,Karanlık
Nightlight,ILLENIUM,Nightlight
Put Your Records On,Ritt Momney,Put Your Records On
ily (i love you baby) (feat. Emilee),Surf Mesa,ily (i love you baby) (feat. Emilee)
Make You Mine,PUBLIC,Make You Mine
Let's Fall in Love for the Night,FINNEAS,Let’s Fall In Love For The Night
Bütün Istanbul Biliyo,İkiye On Kala,Bütün Istanbul Biliyo
Solo,Dan Berk,Solo
Esen,Yüzyüzeyken Konuşuruz,Akustik Travma
Sandal,Yüzyüzeyken Konuşuruz,Akustik Travma
all the good girls go to hell,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
Aldattım,Dolu Kadehi Ters Tut,Dünyanın En İyi Albümü
Sevemiyorum,Perdenin Ardındakiler,Düşüş
Hear Me Roar,NerdOut,Hear Me Roar
Dinle Beni Bi',Yüzyüzeyken Konuşuruz,Akustik Travma
Demons,Imagine Dragons,Night Visions (Deluxe)
Thunder,Imagine Dragons,Evolve
Ciao Adios,Anne-Marie,Speak Your Mind (Deluxe)
FRIENDS,Marshmello,Speak Your Mind (Deluxe)
Unstoppable,Sia,This Is Acting (Deluxe Version)
Lost on You,LP,Lost on You
Love The Way You Lie,Eminem,Recovery
Attention,Charlie Puth,Voicenotes
my future,Billie Eilish,my future
Geri Dönemem,Pinhani,Kediköy
Haru wo Tsugeru,yama,Haru wo Tsugeru
Better Than Feeling Lonely,Olivia O'Brien,Better Than Feeling Lonely
Fuck Feelings,Olivia O'Brien,It's Not That Deep
Remember Me (Lullaby),Gael Garcia Bernal,Coco (Original Motion Picture Soundtrack)
Remember Me (Reunion),Anthony Gonzalez,Coco (Original Motion Picture Soundtrack)
Uyursam Geçer Mi?,Eskitilmiş Yaz,Kıyılara
Bu Sokakta,Şanışer,Live Sessions (Sezon 2)
Balance ton quoi,Angèle,Brol
"Me, Myself & I",G-Eazy,When It's Dark Out
Believer,Imagine Dragons,Evolve
Needs,Verzache,Needs
Sweater Weather,The Neighbourhood,I Love You.
Sen Ona Aşıksın - Kabullenme,Model,Levla'nın Hikayesi (Bonus Edition)
Çok Alıştım Sana,Pinhani,Çok Alıştım Sana
Sendin Düşmanım,Sena Şener,İnsan Gelir İnsan Geçer
Pembe Mezarlık,Model,Diğer Masallar
Someone To You,BANNERS,Empires On Fire
Kazılı Kuyum,Yüzyüzeyken Konuşuruz,Kazılı Kuyum
Bak Bana,Sena Şener,İnsan Gelir İnsan Geçer
Yalnızım,Sena Şener,İnsan Gelir İnsan Geçer
Her An Gidebilirim,Sena Şener,Her An Gidebilirim
Birden Geldin Aklıma,Tuna Kiremitçi,Tuna Kiremitçi ve Arkadaşları
Disconnected,5 Seconds of Summer,She Looks So Perfect (B-Sides)
As the World Caves In,Matt Maltese,As the World Caves In
Fall for You,Secondhand Serenade,A Twist in My Story
Lonely,Noah Cyrus,THE END OF EVERYTHING
Still Loving You,Scorpions,Comeblack
Dream A Little Dream Of Me - Single Version,Ella Fitzgerald,"Love, Ella"
Acının İlacı,Adamlar,Rüyalarda Buruşmuşuz
Mutlu Olmak Zordur Derler (Akustik),Canozan,Mutlu Olmak Zordur Derler (Akustik)
Sevmemeliyiz,Sena Şener,İnsan Gelir İnsan Geçer
When I Look At You,Miley Cyrus,The Time Of Our Lives (International Version)
Can You Feel My Heart,Bring Me The Horizon,Sempiternal (Expanded Edition)
Bütün İstanbul Biliyo,İkiye On Kala,Bütün İstanbul Biliyo
Ölsem,Sena Şener,Ölsem
Öyle Kolay Aşık Olmam (Akustik),Canozan,Öyle Kolay Aşık Olmam (Akustik)
Ah,Duman,Belki Alışman Lazım
Yıldızlara,Yasir Miy,Yıldızlara
Bu Şarkı Aşka Yazıldı,Cem Adrian,Bu Şarkı Aşka Yazıldı
Ölsem Yeridir,Yüzyüzeyken Konuşuruz,Ölsem Yeridir
Bodrum,Yüzyüzeyken Konuşuruz,Akustik Travma
Sen Istersin,Sedef Sebüktekin,Sen Istersin
Zaten Kırılmış Bir Kızsın,Bağzıları,Bize Kalsın
Chlorine,Twenty One Pilots,Trench
Benimle Kayboldun,Kaan Boşnak,Demos
Obsession - Radio Edit,Consoul Trainin,Obsession
I Can't Fall in Love Without You,Zara Larsson,So Good
Kasmicam,Lust,Kasmicam
Kara Geceler,Şanışer,Kara Geceler
Yalan,Şanışer,Yalan
"Genius (feat. Sia, Diplo, and Labrinth)",Sia,"LABRINTH, SIA & DIPLO PRESENT... LSD"
9 Yıl Öncesine Mektup,Şanışer,Onuncu Gün
505,Arctic Monkeys,Favourite Worst Nightmare
Benim İçin Daha Zor,Lia Shine,Benim İçin Daha Zor
Bari Bunu Yap,Lia Shine,Bari Bunu Yap
The Drug In Me Is You,Falling In Reverse,The Drug In Me Is You
Sweather Weather,Fuelled Dancefloor,Dance Mania Smashes
Fairytale,Alexander Rybak,Fairytale
X Değişmez,Xir,XX
Kanayan Yaralar,Aspova,MATRIX (Blue)
Denedim,Tepki,Output Nr.1
Beni Duy,No.1,P.I.V
DRUM GO DUM,K/DA,ALL OUT
Aşk Dediğin,Oğuzhan Koç,Ev
Aşk Dediğin,Majeste,Aşk Dediğin
Sensiz Ben,Pera,Giz
Renkli Rüyalar Oteli,Teoman,Koyu Antoloji
Dönersen Islık Çal,Manuş Baba,Dönersen Islık Çal
Eteği Belinde,Manuş Baba,Dönersen Islık Çal
Break My Heart Again,FINNEAS,Blood Harmony (Deluxe)
Let's Fall in Love for the Night,FINNEAS,Blood Harmony (Deluxe)
If You Want Love,NF,Perception
Do I Wanna Know?,Arctic Monkeys,AM
R U Mine?,Arctic Monkeys,AM
I Wanna Be Yours,Arctic Monkeys,AM
Why'd You Only Call Me When You're High?,Arctic Monkeys,AM
VILLAIN,K/DA,ALL OUT
No Lie,Sean Paul,Mad Love The Prequel
Belki De,Tuğkan,Duble
Oh Lord,NF,Therapy Session
Hymn for the Weekend,Coldplay,A Head Full of Dreams
Dancing in My Room,347aidan,Dancing in My Room
It's Ok,Tom Rosenthal,The Pleasant Trees
Another Love,Tom Odell,Long Way Down
we fell in love in october,girl in red,we fell in love in october / forget her
Half A Man,Dean Lewis,A Place We Knew
Wait,M83,"Hurry up, We're Dreaming"
Lonely Again,Bangers Only,"Bangers Only, Vol. 1"
Half Light,BANNERS,Half Light
idontwannabeyouanymore,Billie Eilish,dont smile at me
Breathe Me,Sia,Colour The Small One
1996,Hazel,1996
Courage to Change,Sia,Courage to Change
Dancing With Your Ghost,Sasha Alex Sloan,Dancing With Your Ghost
I Lost a Friend,FINNEAS,Blood Harmony (Deluxe)
Train Wreck,James Arthur,Back from the Edge
Snowman,Sia,Everyday Is Christmas (Deluxe Edition)
Mr/Mme,Loïc Nottet,Sillygomania
Numb,Dotan,Numb
Arcade,Duncan Laurence,Arcade
High Enough,K.Flay,Every Where Is Some Where
Partners in Crime (feat. Ash Costello),Set It Off,Cinematics (Expanded Edition)
A Little Messed Up,june,A Little Messed Up
Life Letters,Never Get Used To People,Life Letters
Control,Halsey,BADLANDS (Deluxe)
Breathe,Olly Alexander (Years & Years),Take Shelter
Why Do You Love Me,Charlotte Lawrence,Why Do You Love Me
Crossfire,Stephen,Sincerely
No Scrubs,Unlike Pluto feat. Joanna Jones,No Scrubs
Blood // Water,grandson,Blood // Water
Castle in the Snow,Kadebostany,Pop Collection
Him & I (with Halsey),G-Eazy,The Beautiful & Damned
Lush Life,Zara Larsson,So Good
Stressed Out,Twenty One Pilots,Blurryface
Devil Eyes,Hippie Sabotage,Providence
Ride,Twenty One Pilots,Blurryface
Let Me Down Slowly,Alec Benjamin,Narrated For You
everything i wanted,Billie Eilish,everything i wanted
Genç Ölemem,Lia Shine,WBR
Yalan,Per,Yalan
Ben Gibi Bakmaz,Lia Shine,Ben Gibi Bakmaz
Sonsuza Dek,Lia Shine,WBR
Sür Ya da Öl,Şehinşah,666
Sen Lazım,Lia Shine,Sen Lazım
Değiştin,Lia Shine,Değiştin
Benimle Ateş Et,Lia Shine,Benimle Ateş Et
Her Şeyi Yak,Barış Akarsu,Ayrılık Zamansız Gelir
Belki de Aşık Oldun,Pera,Mutlu Ol
Dönme,Batuhan Kordel,Dönme
Mutluyum Ama Birazdan Geçer,İkiye On Kala,Eski Yeşil Araba
Geber,Tuğkan,Geber
Böyle Sever,Kahraman Deniz,19
Her Şey Yolunda,Nasıl Yani,Her Şey Yolunda
Ölürüm Hasretinle,Seksendört,Seksendört
Ölüm İle Yaşam,Anıl Piyancı,Ölüm İle Yaşam
Kendime Yalan Söyledim,Seksendört,Akiyor Zaman
Bırakman Doğru Mu 2,Zeynep Bastık,Bırakman Doğru Mu 2
Cevapsız Sorular,maNga,Şehr-i Hüzün
Ben Yola Gelmem,Kahraman Deniz,6
O Ben Olamam,Mavi Gri,O Ben Olamam
Kusura Bakma,Tuğkan,Kusura Bakma
Aşk Bir Mevsim,Pinhani,Aşk Bir Mevsim
Gece Mavisi,Elyas & Taha,Gece Mavisi
Benim Ol Dedin,Barış Kocatürk,Benim Ol Dedin
Hayalin Yeri Yok (Akustik),Allame,Hayalin Yeri Yok (Akustik)
Gözlerime Bak,Şam,Gözlerime Bak
Böyle Gitme,Kendimden Hallice,Böyle Gitme
kötüyüm galiba,uclercagri,turuncu
Yüce Aşk,Motive,Yüce Aşk
sanki hevesim hiç kırılmamış gibi,Berkay Altunyay,sanki hevesim hiç kırılmamış gibi
Yine de Üzgün,üçkuruş,Yine de Üzgün
Gerek mi var,Bedo,"Pmc Legacy, Vol.1"
Gitme Demem,İzah,Gitme Demem
10,SARU,10
Bilmem,Resit Kemal,Bilmem
Siz Bana Aldırmayın - Akustik,Dolu Kadehi Ters Tut,Siz Bana Aldırmayın (Akustik)
Baktın Olmuyo (Akustik),Canozan,Dolunay
Halledebilirdik,Birileri,Bir İleri
Ölüyorum Anlasana,Nazan Öncel,Sokak Kızı
Öyle Çok,Pera,Mutlu Ol
Okyanus - Live,Elçin Orçun,Okyanus
Kır Papatyası,Bahadır Sağlam,Mavi
Seni Çok Özlüyorum,Tuğkan,Seni Çok Özlüyorum
Kendime,Perdenin Ardındakiler,Kendime
Sar Bu Şehri (Akustik),Canozan,Dolunay
Elleri Ellerime,Duman,Duman 2
Rol,Lia Shine,Rol
